"grade" "IQ" "motivation"
9.02 119.54 4.71
9.03 115.06 4.66
9.39 130.7 5.57
8.67 102.59 4.74
8.6 100.21 5.36
8.96 117.93 4.64
8.98 113.42 4.87
8.42 98.56 2.9
8.57 101.08 4.37
9.67 135.71 4.58
8.55 98.35 5.08
8.55 99.24 5.26
8.71 106.01 5.7
8.48 102.98 4.54
8.56 104.48 5.5
9.1 122.78 3.97
9.21 120.02 4.25
8.14 89.62 4.36
8.11 88.96 3.85
8.29 91.06 5.26
9.11 119.41 5.08
7.58 69.21 4.97
8.89 111.65 5.77
8.98 115.27 5.62
8.7 102.97 5.52
8.65 104.99 5.31
7.87 78.71 4.97
9.04 122.01 5.11
7.83 75.89 4.33
9.07 113.76 5.75
8.15 89.68 5.05
8.64 108.96 5.71
8.05 85.87 4.24
8.41 96.14 3.9
8.98 113.39 5.29
8.27 94.45 6.18
8.21 91.37 4.88
8.64 103.09 5.05
9.4 128.38 4.52
9.23 126.01 4.69
8.28 93.54 4.4
8.77 108.94 4.57
8.47 98.41 5.3
7.47 67.94 4.56
8.25 90.55 3.9
8.13 90.59 5.3
8.55 101.68 5.49
8.41 96.59 4.36
8.5 97.12 4.64
8.41 100.71 4.56
